	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species	condition
N1N2_SNV9	1922.75696642868	-2.45695785025201	0.709223607232804	-3.46429225591966	0.00053162858826395	0.00174677964715298	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC_C	overwintering
N1N2_SNV624	26.3945874836088	-8.15938449245039	1.20261823826348	-6.78468381140812	1.16341026120616e-11	1.78389573384944e-10	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	NA	non-overwintering
N1N2_SNV62	26.8694961855163	-8.17915281492392	2.16832904154515	-3.77209946378593	0.000161879697238167	0.000720625748995711	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	NA	overwintering
N1N2_SNV78	221.284134542785	-2.33294485184696	0.800851692502096	-2.91307975457748	0.00357883184267768	0.00881926418374142	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	NA	overwintering
N1N2_SNV4	101.168348094531	-4.77175270650365	1.29066894949453	-3.69711590905818	0.000218062793280232	0.000911898953717335	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusI	overwintering
N1N2_SNV10	32.1158220942247	-8.43693923550003	2.15457771126822	-3.91582034445808	9.00973237366624e-05	0.000414447689188647	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusI	overwintering
N1N2_SNV662	114.330197450861	8.79200692327818	1.2380206343739	7.10166428504199	1.23263366738116e-12	2.12629307623249e-11	Eukaryota	Chlorophyta	PrasinophyceaeVIII	NA	NA	NA	NA	overwintering
N1N2_SNV3667	4.59985791288936	-5.62078278206594	1.90706088062261	-2.94735361580638	0.00320506459344671	0.0080417984344663	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma	NA	NA	NA	NA	non-overwintering
N1N2_SNV1825	24.897076794146	-8.06747933479448	1.7789115330748	-4.53506494550073	5.75857628770097e-06	4.18254488264597e-05	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	non-overwintering
N1N2_SNV1927	18.9135138609963	-7.67169268324033	1.92834129087156	-3.97838946848092	6.93836528063549e-05	0.000341962288831321	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	non-overwintering
N1N2_SNV159	343.676622276095	-11.8559611735506	1.46637532012703	-8.08521598176072	6.20541280788393e-16	2.85448989162661e-14	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	NA	overwintering
N1N2_SNV1616	13.8324365364914	-7.22726651044303	1.82978817509541	-3.94978315458082	7.82220263351617e-05	0.000372228952905252	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	non-overwintering
N1N2_SNV1323	10.3756593783011	-6.8149496097147	2.01078259940473	-3.38920259790003	0.000700961997281088	0.00224959896801837	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	overwintering
N1N2_SNV3101	6.61098107500606	-6.15600424403607	1.84522113713286	-3.33618779893309	0.000849357669210106	0.00266389450797715	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	non-overwintering
N1N2_SNV1224	9.96657729322754	-6.3936531639872	2.15158904711554	-2.97159588749471	0.00296256346451536	0.0077138444925117	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	overwintering
N1N2_SNV195	281.181690235062	-11.5663514663303	1.5812779738248	-7.3145592728099	2.58227507045476e-13	5.09077085318224e-12	Eukaryota	Haptophyta	Rappemonad	NA	NA	NA	NA	non-overwintering
N1N2_SNV193	284.269926251323	-11.5816760184648	1.81713406500136	-6.37359468491179	1.84648188290416e-10	2.54814499840774e-09	Eukaryota	Haptophyta	Rappemonad	NA	NA	NA	NA	non-overwintering
N1N2_SNV128	158.217047565127	-2.61851964161543	0.697019857828407	-3.75673607029437	0.000172143880937583	0.000742370486543325	Eukaryota	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	NA	overwintering
N1N2_SNV141	89.1034639284282	-4.73543826907277	1.47756319702912	-3.20489727856929	0.0013511068987578	0.00396707983039525	Eukaryota	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	NA	overwintering
N1N2_SNV2244	6.93515115466763	-6.24067030236411	1.78007848752578	-3.50583996497723	0.000455168806779961	0.00154060520759847	Eukaryota	Cryptophyta	Cryptophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV3280	4.98840028881916	-5.76374229797318	1.81854897040344	-3.1694182514615	0.00152744419131675	0.00439140205003566	Eukaryota	Chlorophyta	PrasinophyceaeI	NA	NA	NA	NA	non-overwintering
N1N2_SNV1913	7.95085061154419	-6.43245353636836	1.83003242125096	-3.51493965990576	0.000439853916703891	0.00154060520759847	Eukaryota	Chlorophyta	PrasinophyceaeI	NA	NA	NA	NA	overwintering
N1N2_SNV1230	18.4765465268223	-7.64280343953398	1.89629415346086	-4.03038918070034	5.56845778519106e-05	0.000295556605521679	Eukaryota	Chlorophyta	PrasinophyceaeI	NA	NA	NA	NA	non-overwintering
N1N2_SNV1016	59.7476390742146	-5.25806397171681	1.10338252731396	-4.76540441918804	1.8847522747891e-06	1.52997537600527e-05	Eukaryota	new_euk_C	NA	NA	NA	NA	NA	overwintering
N1N2_SNV3871	4.12743413410766	-5.4810042800187	1.48654471690652	-3.68707662654414	0.000226845065727042	0.000912762477513513	Eukaryota	new_euk_C	NA	NA	NA	NA	NA	non-overwintering
N1N2_SNV3496	3.09604456173713	-5.10222333589174	1.5646225824874	-3.26099302988479	0.00111022769358924	0.00340469826034034	Eukaryota	Chlorophyta	NA	NA	NA	NA	NA	non-overwintering
N1N2_SNV519	45.8277573408916	-8.95019637497196	2.03134799231334	-4.40603796535092	1.05278519013352e-05	7.2642178119213e-05	Eukaryota	Chlorophyta	PrasinophyceaeI	NA	NA	NA	NA	non-overwintering
N1N2_SNV357	61.9351626565514	-8.66256951656383	1.6704591066561	-5.18574174132549	2.15156796043298e-07	2.28397214261348e-06	Eukaryota	Chlorophyta	2ndaryPlastid	NA	NA	NA	NA	overwintering
N1N2_SNV75	735.428711676208	2.7729832776332	0.68452206088375	4.05097722351439	5.10041726315189e-05	0.000281543032925984	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynI	overwintering
N1N2_SNV182	68.2183363901403	9.4992838392743	1.64718529954165	5.76697949035702	8.07048693577404e-09	1.01247927012438e-07	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynIV	overwintering
N1N2_SNV22	345.206313758439	4.65992724867915	1.51108442720292	3.0838298408679	0.00204354440359727	0.00564018255392848	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynIV	overwintering

####Summary####
57 SNVs differential abundance between winter and spring in Subpolar region
5 Winter
52 Spring (27 OW and 30 NonOW) —> from these 10 OW > 100 and 3 OW > 100
