	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species	condition
N1N2_SNV3015	5.05873182707697	-5.82684580297707	1.31244745612336	-4.4396792997627	9.00930290204297e-06	2.55916430260931e-05	Eukaryota	Stramenopiles	Bacillariophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV29	1170.29523376756	-4.92101985623151	0.29182696280051	-16.8628005068725	8.44891255982285e-64	2.3656955167504e-62	Eukaryota	Stramenopiles	Bacillariophyceae	Cymatosirales	Cymatosiraceae	NA	NA	overwintering
N1N2_SNV693	43.0123703780719	-8.92117290563911	0.818334064428604	-10.9016272124371	1.13214258653946e-27	8.53461334468207e-27	Eukaryota	Stramenopiles	Bacillariophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	NA	non-overwintering
N1N2_SNV25	1193.78638365625	-10.0979650280704	0.788836352629811	-12.8010898514071	1.61666279514488e-37	1.76036615471331e-36	Eukaryota	Stramenopiles	Bacillariophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	NA	overwintering
N1N2_SNV2916	4.10513565766072	-5.5309016960411	0.93271498454533	-5.92989475636788	3.03128907742534e-09	1.08024119850067e-08	Eukaryota	Stramenopiles	Bacillariophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	NA	non-overwintering
N1N2_SNV3697	3.68802218009142	5.22740387245397	1.66021378420194	3.14863297859364	0.00164036071759634	0.00369552529481473	Eukaryota	Stramenopiles	new_euk_B	NA	NA	NA	NA	overwintering
N1N2_SNV467	68.5244617035285	-5.91159616481969	0.68946055717308	-8.57423402008429	9.97484216455309e-18	5.28397044392542e-17	Eukaryota	Stramenopiles	Bacillariophyceae	Anaulales	Anaulaceae	Eunotogramma	NA	overwintering
N1N2_SNV3658	4.75847078284125	5.59331895794857	1.72523805610169	3.24205632849713	0.00118670564546762	0.00276897983942444	Eukaryota	Stramenopiles	new_euk_B	NA	NA	NA	NA	overwintering
N1N2_SNV2099	4.25440919487939	-5.5952381533256	1.18558080018919	-4.71940685310753	2.3653332300305e-06	7.13238943209197e-06	Eukaryota	Stramenopiles	Dictyochophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV366	86.2607926834408	-1.29424439302733	0.271532583399143	-4.76644230620691	1.87507389641247e-06	5.7424138077632e-06	Eukaryota	Stramenopiles	Dictyochophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV74	634.737338580892	1.87809372273751	0.304138620048075	6.17512410111099	6.61115202493667e-10	2.59157159377518e-09	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	NA	overwintering
N1N2_SNV1957	8.50364313028717	5.62720447354541	0.699167683011518	8.04843331617876	8.38605800309486e-16	3.9134937347776e-15	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	NA	overwintering
N1N2_SNV3860	5.32865087279336	5.75643311049601	1.72730200341775	3.33261531515969	0.000860338087422075	0.00203164174861117	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	NA	overwintering
N1N2_SNV1123	8.26708752673365	4.9925259315471	1.17486128669098	4.24945990484428	2.14286559600656e-05	5.67569806509846e-05	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	NA	overwintering
N1N2_SNV850	15.2173285081441	-5.10115705696115	0.848250262396291	-6.01374061771638	1.81290507339689e-09	6.70432819595832e-09	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	NA	overwintering
N1N2_SNV2943	1.63339514703763	-4.22080267175905	1.49589064628185	-2.82159841178911	0.00477849736745526	0.00985879456864455	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	NA	non-overwintering
N1N2_SNV925	20.3789694093458	-7.84768437684471	0.755037531780503	-10.3937672586137	2.64687344183932e-25	1.85281140928752e-24	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	NA	non-overwintering
N1N2_SNV55	548.062601451916	-2.42818614568261	0.642981682430326	-3.77644684449581	0.000159081489933655	0.000404934701649303	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	NA	overwintering
N1N2_SNV16	1274.50512607293	-4.6129574551665	0.499918485221634	-9.22741925240351	2.77230697545679e-20	1.69803802246729e-19	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	NA	overwintering
N1N2_SNV34	771.152298341928	-3.10815506345046	0.282471073357283	-11.0034455086277	3.67804350126583e-28	3.00373552603376e-27	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasE2	overwintering
N1N2_SNV200	149.343314648085	-1.79732600675048	0.618162820755655	-2.90752848020428	0.00364297170246105	0.00776111362698223	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC_C	overwintering
N1N2_SNV624	25.5143099507075	-8.17326669856236	0.561039354604965	-14.5680808867985	4.48308855549379e-48	8.78685356876783e-47	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	NA	non-overwintering
N1N2_SNV62	448.187059389287	-3.45019447714487	0.393036052033293	-8.7783155242273	1.65941190322349e-18	9.29270665805157e-18	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	NA	overwintering
N1N2_SNV78	346.948433670626	0.482277181813577	0.128914685491994	3.74105696316132	0.000183247978172544	0.000460469278484854	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	NA	overwintering
N1N2_SNV247	127.607005258756	-10.4905747400645	0.604089818617823	-17.365918803378	1.49487630605454e-67	4.88326259977818e-66	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	NA	non-overwintering
N1N2_SNV1363	12.2676978841616	-7.11452731345411	0.774375666373432	-9.1874365665091	4.02314156653799e-20	2.38950226376196e-19	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	NA	non-overwintering
N1N2_SNV1422	8.00911047932814	-6.50144664426613	1.4843326134747	-4.38004702264596	1.18653701666561e-05	3.32230364666371e-05	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	NA	non-overwintering
N1N2_SNV1435	28.9463768299927	24.7689445534186	1.87937940656681	13.1793210391007	1.1542492162239e-39	1.41395528987427e-38	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	NA	overwintering
N1N2_SNV189	304.512903213926	7.64863355969085	0.816630359248752	9.36609014478363	7.52692113493992e-21	4.75895658854266e-20	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	NA	overwintering
N1N2_SNV1486	36.1642795862031	23.6919059529543	2.73793218596822	8.65321138133889	5.00701626191129e-18	2.72604218704059e-17	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII	overwintering
N1N2_SNV1617	26.9916027916532	24.6692196610873	2.91619950080136	8.4593731170684	2.68818654159661e-17	1.38653832145509e-16	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII	overwintering
N1N2_SNV1330	30.8234390177836	24.8544978499263	2.04947536710276	12.1272488798252	7.575176302466e-34	7.42367277641669e-33	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII	overwintering
N1N2_SNV2151	18.2449925306637	24.118436845769	2.91636484623899	8.27003414091782	1.33920658633579e-16	6.40206075419061e-16	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII	overwintering
N1N2_SNV71	819.601670699054	10.3039675554994	0.798021121639733	12.9118982895181	3.85674450577656e-38	4.44659954783651e-37	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII	overwintering
N1N2_SNV1475	31.4024375470737	24.8831444999792	1.76321945112224	14.112335525871	3.18840867084364e-45	4.4637721391811e-44	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII	overwintering
N1N2_SNV121	369.299189893856	2.78576861187607	0.442312125092469	6.29819635013098	3.0112892001865e-10	1.2045156800746e-09	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII	overwintering
N1N2_SNV4	4454.17678461849	-6.10478593767554	0.426018095899404	-14.3298747082262	1.42377232439982e-46	2.32549479651971e-45	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusI	overwintering
N1N2_SNV192	154.836886079112	-10.7695484986552	0.613045591805492	-17.5672880493889	4.38645910357921e-69	1.71949196860305e-67	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusI	non-overwintering
N1N2_SNV10	1652.15583341149	-6.91970933961636	0.628861061613322	-11.0035582770288	3.67344539172302e-28	3.00373552603376e-27	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusI	overwintering
N1N2_SNV181	162.772846942502	-10.8416206412411	0.616324929550166	-17.5907546838224	2.8998976156745e-69	1.4209498316805e-67	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusI	non-overwintering
N1N2_SNV662	3.75550724033054	3.99677173084399	1.26864929824166	3.15041496210457	0.00163038711799114	0.00369552529481473	Eukaryota	Chlorophyta	PrasinophyceaeVIII	NA	NA	NA	NA	overwintering
N1N2_SNV2037	14.1071053109514	2.98564623974885	0.836729074470367	3.56823532352895	0.000359393652600045	0.000891660201387452	Eukaryota	Chlorophyta	PrasinophyceaeVI_Pderma	NA	NA	NA	NA	overwintering
N1N2_SNV3238	2.2097902889332	-4.26757128756818	0.831118611221629	-5.13473195034755	2.82546432379557e-07	9.22722809048642e-07	Eukaryota	Chlorophyta	Trebouxiophyceae	NA	NA	NA	NA	overwintering
N1N2_SNV159	21.6311616113405	-4.21492132496379	1.22961898520675	-3.42782713643209	0.000608432748693825	0.00147225702153074	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	NA	overwintering
N1N2_SNV194	149.045643440368	-1.4649360017129	0.205651351762868	-7.12339592789102	1.05299768832809e-12	4.69062606618878e-12	Eukaryota	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	antarctica	overwintering
N1N2_SNV2156	4.56989139914013	-5.6952668089693	0.948146257883574	-6.00673868784982	1.89292228018486e-09	6.87060679474506e-09	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	non-overwintering
N1N2_SNV770	48.5996975946067	2.12134116777254	0.442213484117874	4.79709742909398	1.60981311423374e-06	5.00830746650497e-06	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	overwintering
N1N2_SNV2454	2.9484450945946	4.29222791116835	1.22285830617133	3.50999612097902	0.000448113231146824	0.00109787741630972	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	overwintering
N1N2_SNV1675	8.35479682093425	-6.5622567740307	0.896911989068273	-7.31650022969108	2.54521587844475e-13	1.16014491203528e-12	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	non-overwintering
N1N2_SNV821	23.1969494232385	-3.55476265899811	0.812889671320361	-4.3729952346721	1.22553400144809e-05	3.38316428568769e-05	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	overwintering
N1N2_SNV1478	7.97270909697803	-4.45104090163917	0.856904554201886	-5.19432517870655	2.05463741272339e-07	7.06506899813658e-07	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	overwintering
N1N2_SNV2478	4.98996241147877	-5.81252514574959	1.48939548862275	-3.90260692351394	9.516217744457e-05	0.000245418247093891	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	non-overwintering
N1N2_SNV1323	6.49076683355939	-4.6258156663061	1.4530527235386	-3.18351536139784	0.00145498392842906	0.0033550217643776	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	overwintering
N1N2_SNV1297	13.9696014621637	-2.54369878199229	0.550056647388745	-4.62443058195526	3.75628853803477e-06	1.09885455739525e-05	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	overwintering
N1N2_SNV4542	2.59507947083942	4.70701960536177	1.51214431676128	3.11281109427657	0.00185314591653512	0.00408108538922341	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	overwintering
N1N2_SNV1506	9.95415269433533	-6.82195979735738	0.624960838935048	-10.9158196359666	9.68516937918766e-28	7.59317279328313e-27	Eukaryota	Haptophyta	NA	NA	NA	NA	NA	non-overwintering
N1N2_SNV470	71.8684378265561	-1.83489018904269	0.587925894787601	-3.1209548776646	0.00180265653252733	0.00401500773153814	Eukaryota	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	NA	overwintering
N1N2_SNV708	31.8821197773735	-3.49027051375023	0.767133646029408	-4.54975548499985	5.37082885616211e-06	1.54806243501143e-05	Eukaryota	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	NA	overwintering
N1N2_SNV1632	8.57396078816584	-6.59585426589708	1.28218027034242	-5.14424876007145	2.68593436632715e-07	8.9227650135614e-07	Eukaryota	Cryptophyta	Cryptophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV185	172.13036981618	-1.96054023631106	0.219752400077429	-8.92158736660111	4.59651974263173e-19	2.64975843987006e-18	Eukaryota	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	NA	overwintering
N1N2_SNV1087	13.1454471143715	-7.21292385066312	1.55092876951479	-4.65071252299982	3.30790166099713e-06	9.82346553871874e-06	Eukaryota	Cryptophyta	Cryptophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV2001	4.48089460299697	-5.67049551039687	1.30092045982272	-4.35883336877461	1.30757622561075e-05	3.55951305860705e-05	Eukaryota	Cryptophyta	Cryptophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV1573	9.18096118154312	-6.69660608711551	0.797750701791037	-8.39435938079515	4.68441277894969e-17	2.35421770429267e-16	Eukaryota	Cryptophyta	Cryptophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV128	158.637101407388	-2.84207734852216	0.471097953021589	-6.03287985076835	1.61063169875621e-09	6.07084255685034e-09	Eukaryota	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	NA	overwintering
N1N2_SNV141	191.447084285993	-4.73690176116488	0.691646268610899	-6.84873464390758	7.45060504434836e-12	3.10706082700485e-11	Eukaryota	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	NA	overwintering
N1N2_SNV1433	9.02356203875254	-6.66920199373419	1.29492536115391	-5.15025977079578	2.60125920097977e-07	8.79046212744889e-07	Eukaryota	Cryptophyta	Cryptophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV1976	6.53681529220235	-6.20333292950972	1.8115545912376	-3.42431465190998	0.000616352122901503	0.00147323190352067	Eukaryota	Cryptophyta	Cryptophyceae	NA	NA	NA	NA	non-overwintering
N1N2_SNV1088	15.732778245548	-7.47599144286991	0.636205463599505	-11.7509073257128	6.98646257375976e-32	6.52069840217578e-31	Eukaryota	Chlorophyta	PrasinophyceaeI	NA	NA	NA	NA	non-overwintering
N1N2_SNV973	17.9731329765327	-3.01837035668712	0.615211408236286	-4.90623274581386	9.28423468804853e-07	2.93501612718954e-06	Eukaryota	Chlorophyta	PrasinophyceaeI	NA	NA	NA	NA	overwintering
N1N2_SNV2277	5.52144857310888	-5.13687313405582	0.735301204858273	-6.98608012623335	2.82672676333948e-12	1.23119654581009e-11	Eukaryota	Chlorophyta	PrasinophyceaeV	NA	NA	NA	NA	overwintering
N1N2_SNV325	212.000302655803	27.5546445633131	1.67876349570109	16.4136548321868	1.5272826953474e-60	3.74184260360114e-59	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLII	overwintering
N1N2_SNV277	266.504321765683	11.4273933069479	0.809471568792447	14.1171027464189	2.97992914782408e-45	4.4637721391811e-44	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLII	overwintering
N1N2_SNV42	1441.47993810658	13.8764042915281	0.613063409156461	22.634533531566	1.98149344345708e-113	3.88372714917587e-111	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLI	overwintering
N1N2_SNV2153	18.9210213079472	24.174755432476	2.91634664054769	8.28939711636474	1.13823922320473e-16	5.57737219370318e-16	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLI	overwintering
N1N2_SNV1370	20.1620277242925	7.70169542845826	0.75059893307961	10.2607332478601	1.05899524474747e-24	7.1573471713967e-24	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynIII	overwintering
N1N2_SNV2163	8.75429804424488	6.48363466128939	1.5090618300064	4.29646720390634	1.7354162926258e-05	4.65947388157065e-05	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	Syn5_3	overwintering
N1N2_SNV127	521.08818537973	12.4056689792644	0.639057690717733	19.4124398461294	6.05809704142666e-84	3.95795673373208e-82	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProLLI	overwintering
N1N2_SNV1471	22.495813752113	24.4164835589949	1.69862012737252	14.3743048640093	7.50195045668378e-47	1.33671117228184e-45	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynEPC2	overwintering
N1N2_SNV2051	13.3823353917989	7.09261239502183	1.79480608015875	3.95174301749327	7.75840306051807e-05	0.000202752933314872	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynWPC1	overwintering
N1N2_SNV1412	19.312389789204	5.46024473094167	0.813983749549147	6.70805127739469	1.97240627782562e-11	8.05399230112129e-11	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Synechococcaceae	Synechococcus	SynXVI	overwintering

####Summary####
95 SNVs differential abundance between winter and spring in Subpolar region
38 Winter
57 Spring (27 OW and 30 NonOW) —> from these 10 OW > 100 and 3 OW > 100
